1511532807.511		288708	214174	25	72511	1998	142576	70	12394	0	200
1511532808.505		286061	213779	22	70270	1990	140227	70	12394	0	200
1511532809.506		286243	213591	22	70669	1961	141326	70	12394	0	200
1511532810.506		289300	216213	22	71132	1933	141716	70	12394	0	200
1511532811.506		291270	217910	22	71376	1962	142426	70	12394	0	200
1511532812.505		287889	214890	23	71041	1935	141659	70	12394	0	200
1511532813.506		289752	216476	21	71286	1969	142466	70	12394	0	200
1511532814.506		291240	218362	22	70805	2051	141167	70	12394	0	200
1511532815.506		285451	213729	30	70183	1509	139563	70	12394	0	200
1511532816.506		287144	215050	20	70158	1916	139948	70	12394	0	200
1511532817.505		285310	213686	22	69644	1958	139550	70	12394	0	200
1511532818.506		288869	216407	23	70467	1972	141178	70	12394	0	200
1511532819.506		289331	216726	29	70617	1959	141232	70	12394	0	200
1511532820.506		288804	216160	21	70674	1949	141363	70	12394	0	200
1511532821.505		287844	215799	21	70512	1512	140720	70	12394	0	200
1511532822.506		287327	215037	21	70301	1968	140678	70	12394	0	200
1511532823.505		286681	214327	92	70242	2020	140746	70	12394	0	200
1511532824.505		285776	214048	24	69700	2004	139746	70	12394	0	200
1511532825.506		288377	216692	23	69786	1876	139553	70	12394	0	200
1511532826.506		291257	218107	22	71094	2034	142119	70	12394	0	200
1511532827.506		287750	215198	29	70552	1971	141188	70	12394	0	200
1511532828.506		288651	216123	22	70512	1994	141241	70	12394	0	200
1511532829.506		287446	215219	21	70298	1908	140589	70	12394	0	200
1511532830.506		286120	214427	21	70231	1441	140090	70	12394	0	200
1511532831.506		286305	214780	28	69933	1564	139729	70	12394	0	200
1511532832.506		286738	214683	24	70424	1607	140332	70	12394	0	200
1511532833.506		286892	215119	21	70303	1449	139953	70	12394	0	200
1511532834.506		288870	216137	22	70701	2010	141451	70	12394	0	200
1511532835.506		289413	216890	23	70584	1916	141204	70	12394	0	200
1511532836.506		287968	215243	21	70744	1960	141407	70	12394	0	200
1511532837.506		287810	215436	78	70292	2004	140781	70	12394	0	200
1511532838.505		287066	214638	23	70342	2063	140697	70	12394	0	200
1511532839.506		287843	215487	22	70308	2026	140638	70	12394	0	200
1511532840.506		285106	212281	21	70697	2107	141350	70	12394	0	200
1511532841.506		289586	217102	23	70462	1999	141262	70	12394	0	200
1511532842.505		286148	214197	21	69935	1995	140120	70	12394	0	200
1511532843.506		285850	213745	32	70132	1941	140392	70	12394	0	200
1511532844.506		289723	217008	34	70769	1912	141389	70	12394	0	200
1511532845.506		288346	215717	23	70676	1930	141278	70	12394	0	200
1511532846.506		285222	213095	21	70052	2054	140191	70	12394	0	200
1511532847.506		290000	218354	41	69664	1941	139745	70	12394	0	200
1511532848.505		289895	217748	31	70093	2023	140483	70	12394	0	200
1511532849.506		288293	215418	22	70830	2023	141605	70	12394	0	200
1511532850.506		288016	214853	20	71222	1921	142185	70	12394	0	200
1511532851.506		290293	217532	21	70758	1982	141474	70	12394	0	200
1511532852.506		289273	216643	20	70662	1948	141292	70	12394	0	200
1511532853.505		288719	216073	23	70659	1964	141288	70	12394	0	200
1511532854.506		285558	213368	30	70139	2021	140437	70	12394	0	200
1511532855.505		287317	215273	22	70486	1536	140556	70	12394	0	200
1511532856.505		286269	214295	21	69974	1979	140295	70	12394	0	200
1511532857.506		291418	218305	25	71129	1959	141960	70	12394	0	200
1511532858.506		290018	216952	57	71044	1965	141745	70	12394	0	200
1511532859.506		291662	218839	22	70864	1937	141645	70	12394	0	200
1511532860.506		290293	216819	24	71428	2022	142563	70	12394	0	200
1511532861.506		287177	214788	24	70384	1981	140676	70	12394	0	200
1511532862.506		285712	213985	23	69763	1941	139759	70	12394	0	200
1511532863.506		287747	214940	23	70634	2150	141213	70	12394	0	200
1511532864.506		286766	214731	21	70009	2005	140014	70	12394	0	200
1511532865.506		288943	216462	27	70476	1978	141274	70	12394	0	200
1511532866.506		287952	215335	23	70542	2052	141279	70	12394	0	200
